date,user_id,device,pages_viewed,paid_clicks,organic_clicks,revenue
2026-01-01,1,mobile,18,6,0,11.3
2026-01-01,4,desktop,6,0,4,5.13
2026-01-01,6,desktop,6,2,0,3.89
2026-01-01,9,mobile,12,1,12,9.51
2026-01-01,11,mobile,15,3,7,13.69
2026-01-01,12,mobile,14,5,13,10.42
2026-01-01,15,desktop,3,1,4,2.61
2026-01-01,17,mobile,10,7,9,11.04
2026-01-01,18,mobile,18,3,4,11.5
2026-01-01,22,mobile,17,2,2,13.16
2026-01-01,23,mobile,8,3,6,242.26
2026-01-01,24,mobile,17,4,6,16.35
2026-01-01,26,desktop,1,6,1,1.69
2026-01-01,29,desktop,6,0,4,3.72
2026-01-01,30,mobile,24,3,7,13.21
2026-01-01,31,desktop,7,2,2,1.64
2026-01-01,32,desktop,2,0,2,3.81
2026-01-01,33,mobile,14,3,2,13.75
2026-01-01,34,mobile,24,2,4,13.86
2026-01-01,38,mobile,12,3,5,13.87
2026-01-01,42,desktop,8,4,5,2.62
2026-01-01,45,mobile,48,0,11,9.12
2026-01-01,46,mobile,11,3,11,11.45
2026-01-01,48,mobile,20,1,6,12.56
2026-01-01,51,mobile,22,4,9,12.14
2026-01-01,52,mobile,20,12,3,9.28
2026-01-01,53,mobile,15,3,6,16.12
2026-01-01,59,mobile,11,1,5,9.86
2026-01-01,61,mobile,18,3,1,8.71
2026-01-01,62,mobile,20,0,11,14.02
2026-01-01,66,desktop,9,0,1,3.14
2026-01-01,68,desktop,6,2,3,5.01
2026-01-01,69,mobile,9,4,2,13.27
2026-01-01,72,desktop,4,4,2,2.4
2026-01-01,74,mobile,15,2,5,10.09
2026-01-01,75,mobile,14,5,4,12.38
2026-01-01,76,mobile,47,1,10,11.9
2026-01-01,77,desktop,4,1,4,2.54
2026-01-01,79,desktop,12,0,9,3.23
2026-01-01,82,mobile,17,1,8,15.61
2026-01-01,84,mobile,22,2,14,16.12
2026-01-01,85,mobile,20,1,3,9.16
2026-01-01,89,mobile,25,3,3,12.87
2026-01-01,90,desktop,4,2,0,1.94
2026-01-01,91,mobile,16,2,2,13.05
2026-01-01,92,mobile,15,1,6,15.66
2026-01-01,93,mobile,16,2,7,10.44
2026-01-01,95,mobile,16,9,6,10.16
2026-01-01,96,mobile,23,3,8,11.76
2026-01-01,99,desktop,8,1,3,2.95
2026-01-01,100,desktop,7,2,0,3.01
2026-01-01,101,mobile,13,4,4,13.42
2026-01-01,103,mobile,16,6,1,9.51
2026-01-01,105,mobile,12,1,4,13.39
2026-01-01,107,mobile,9,5,1,15.7
2026-01-01,111,desktop,4,0,0,2.01
2026-01-01,114,mobile,16,5,7,13.15
2026-01-01,120,mobile,17,2,7,10.29
2026-01-01,121,mobile,25,4,7,11.78
2026-01-01,123,desktop,4,0,0,2.54
2026-01-01,124,mobile,19,4,3,11.93
2026-01-01,125,mobile,13,4,4,10.41
2026-01-01,126,mobile,14,2,2,12.72
2026-01-01,129,mobile,13,3,2,11.97
2026-01-01,133,mobile,33,5,7,13.62
2026-01-01,136,mobile,17,5,4,13.99
2026-01-01,137,mobile,20,5,5,14.0
2026-01-01,140,mobile,16,3,10,15.65
2026-01-01,141,mobile,11,7,8,12.27
2026-01-01,144,mobile,11,6,11,12.5
2026-01-01,147,mobile,16,1,4,12.39
2026-01-01,148,desktop,4,6,0,3.55
2026-01-01,150,mobile,17,2,13,12.52
2026-01-01,151,mobile,9,14,4,11.69
2026-01-01,153,mobile,26,5,3,11.62
2026-01-01,154,mobile,11,1,2,12.28
2026-01-01,156,mobile,17,0,6,12.13
2026-01-01,158,mobile,16,0,5,14.07
2026-01-01,160,mobile,14,5,6,10.73
2026-01-01,161,mobile,14,1,8,10.5
2026-01-01,162,mobile,13,2,2,10.45
2026-01-01,163,mobile,8,2,9,11.82
2026-01-01,165,mobile,8,4,7,11.61
2026-01-01,169,mobile,10,1,3,9.6
2026-01-01,170,mobile,16,0,3,18.45
2026-01-01,171,desktop,5,0,1,2.09
2026-01-01,172,mobile,17,0,2,10.08
2026-01-01,173,mobile,17,3,0,12.77
2026-01-01,174,mobile,10,4,7,11.6
2026-01-01,178,mobile,20,7,4,9.65
2026-01-01,181,desktop,1,0,2,3.92
2026-01-01,183,mobile,23,4,6,7.83
2026-01-01,184,mobile,15,3,3,10.33
2026-01-01,187,mobile,18,11,8,9.49
2026-01-01,189,mobile,12,1,9,17.43
2026-01-01,190,desktop,16,3,3,3.5
2026-01-01,191,mobile,15,6,6,12.9
2026-01-01,193,mobile,14,13,1,14.37
2026-01-01,195,mobile,9,7,5,12.25
2026-01-01,196,mobile,20,3,0,17.31
2026-01-01,197,mobile,17,5,2,9.89
2026-01-01,198,mobile,19,4,5,13.03
2026-01-01,199,mobile,22,7,8,11.04
2026-01-01,200,mobile,14,3,12,15.59
2026-01-01,201,desktop,7,2,0,1.76
2026-01-01,202,desktop,5,1,2,2.09
2026-01-01,203,mobile,8,2,5,12.47
2026-01-01,204,mobile,29,5,11,15.33
2026-01-01,205,desktop,5,0,0,3.29
2026-01-01,206,desktop,9,0,2,2.88
2026-01-01,207,mobile,13,4,9,14.53
2026-01-01,209,desktop,10,4,0,2.59
2026-01-01,213,mobile,14,4,8,12.58
2026-01-01,218,mobile,15,2,2,12.34
2026-01-01,221,mobile,19,0,4,11.1
2026-01-01,222,desktop,6,1,1,1.79
2026-01-01,223,mobile,15,2,1,8.39
2026-01-01,225,mobile,14,3,3,13.45
2026-01-01,228,mobile,5,3,5,11.52
2026-01-01,229,mobile,10,6,12,9.85
2026-01-01,230,mobile,8,4,8,14.53
2026-01-01,231,mobile,14,2,5,11.54
2026-01-01,232,mobile,10,3,7,11.68
2026-01-01,233,mobile,10,6,8,13.61
2026-01-01,234,desktop,3,0,5,3.99
2026-01-01,239,desktop,6,2,4,1.56
2026-01-01,240,mobile,24,2,2,248.37
2026-01-01,241,mobile,16,1,8,8.52
2026-01-01,242,mobile,15,7,5,13.17
2026-01-01,245,mobile,19,8,5,9.15
2026-01-01,251,mobile,39,2,7,10.52
2026-01-01,252,mobile,7,5,4,137.72
2026-01-01,253,mobile,22,4,3,13.37
2026-01-01,254,desktop,2,1,3,56.59
2026-01-01,255,mobile,14,1,10,9.84
2026-01-01,256,mobile,50,1,11,13.02
2026-01-01,259,desktop,9,0,7,2.64
2026-01-01,261,mobile,19,6,3,12.65
2026-01-01,262,desktop,4,1,1,2.93
2026-01-01,266,mobile,22,4,2,10.05
2026-01-01,268,mobile,18,6,4,12.05
2026-01-01,269,mobile,7,3,3,15.22
2026-01-01,272,mobile,10,2,3,12.51
2026-01-01,276,mobile,17,4,6,12.57
2026-01-01,278,mobile,9,2,2,11.87
2026-01-01,280,mobile,19,3,1,15.01
2026-01-01,281,mobile,11,2,1,6.95
2026-01-01,282,mobile,12,6,4,10.81
2026-01-01,283,desktop,6,1,2,3.39
2026-01-01,286,mobile,17,1,2,11.44
2026-01-01,288,mobile,18,2,6,9.85
2026-01-01,293,mobile,9,10,7,9.25
2026-01-01,294,desktop,6,0,1,1.54
2026-01-01,295,mobile,16,6,9,12.33
2026-01-01,296,mobile,17,10,8,10.69
2026-01-01,297,mobile,11,7,0,10.86
2026-01-01,303,mobile,10,4,9,9.33
2026-01-01,304,mobile,23,4,3,11.83
2026-01-01,305,mobile,10,1,6,11.32
2026-01-01,308,mobile,20,6,6,12.52
2026-01-01,309,mobile,20,6,6,11.61
2026-01-01,312,desktop,6,1,0,2.75
2026-01-01,313,mobile,15,1,5,11.68
2026-01-01,314,mobile,19,1,2,12.84
2026-01-01,316,mobile,14,5,7,9.74
2026-01-01,317,desktop,2,0,1,3.29
2026-01-01,318,desktop,8,1,0,2.49
2026-01-01,319,mobile,6,26,1,16.08
2026-01-01,320,mobile,11,2,6,11.97
2026-01-01,321,mobile,25,3,5,10.75
2026-01-01,324,mobile,14,5,5,9.79
2026-01-01,326,mobile,16,3,3,15.93
2026-01-01,328,mobile,17,3,8,9.9
2026-01-01,333,desktop,6,1,8,3.38
2026-01-01,334,desktop,5,1,0,1.83
2026-01-01,340,mobile,26,5,2,12.51
2026-01-01,341,mobile,16,9,2,12.62
2026-01-01,343,mobile,11,2,2,11.84
2026-01-01,344,mobile,19,2,11,12.41
2026-01-01,347,desktop,7,3,1,3.34
2026-01-01,352,mobile,15,2,2,11.27
2026-01-01,353,desktop,7,1,0,2.45
2026-01-01,354,desktop,2,1,1,5.22
2026-01-01,355,mobile,14,5,5,15.04
2026-01-01,357,mobile,24,4,10,10.82
2026-01-01,359,mobile,19,3,6,11.17
2026-01-01,360,mobile,15,4,1,14.17
2026-01-01,362,mobile,25,2,3,15.51
2026-01-01,363,mobile,17,3,8,10.02
2026-01-01,364,mobile,20,4,7,11.23
2026-01-01,366,mobile,16,2,0,10.36
2026-01-01,368,desktop,9,4,0,1.77
2026-01-01,369,desktop,10,0,3,2.35
2026-01-01,371,desktop,7,1,1,3.14
2026-01-01,372,desktop,6,4,1,2.07
2026-01-01,373,mobile,20,4,5,150.84
2026-01-01,375,mobile,16,2,9,9.48
2026-01-01,379,mobile,15,3,6,12.47
2026-01-01,380,desktop,6,1,2,2.25
2026-01-01,381,mobile,25,2,5,11.93
2026-01-01,383,mobile,28,6,7,11.92
2026-01-01,384,mobile,25,6,12,14.48
2026-01-01,386,mobile,15,2,7,15.08
2026-01-01,387,desktop,5,0,5,2.54
2026-01-01,388,mobile,12,3,5,9.9
2026-01-01,389,mobile,18,10,5,11.09
2026-01-01,391,mobile,12,5,5,12.75
2026-01-01,393,mobile,16,0,3,10.32
2026-01-01,395,mobile,30,2,7,11.25
2026-01-01,398,mobile,14,1,6,13.47
2026-01-01,399,mobile,17,2,1,8.88
2026-01-01,400,desktop,9,2,1,4.02
2026-01-01,406,mobile,39,0,6,12.51
2026-01-01,409,desktop,2,1,0,3.18
2026-01-01,411,mobile,16,2,2,12.98
2026-01-01,413,mobile,11,0,6,16.84
2026-01-01,415,mobile,8,7,1,16.42
2026-01-01,416,mobile,11,1,7,16.3
2026-01-01,417,mobile,15,1,6,12.45
2026-01-01,418,mobile,16,3,14,12.05
2026-01-01,419,mobile,15,1,2,15.74
2026-01-01,420,mobile,16,0,3,13.53
2026-01-01,421,mobile,19,3,6,12.06
2026-01-01,422,desktop,9,1,1,2.5
2026-01-01,423,mobile,13,7,4,12.79
2026-01-01,424,desktop,4,0,1,2.56
2026-01-01,429,desktop,7,1,6,30.46
2026-01-01,431,mobile,20,7,7,14.04
2026-01-01,432,mobile,8,0,0,10.96
2026-01-01,434,desktop,6,1,1,1.56
2026-01-01,435,mobile,30,5,6,10.37
2026-01-01,437,mobile,15,3,2,9.29
2026-01-01,439,desktop,4,1,1,2.69
2026-01-01,443,mobile,27,5,4,13.17
2026-01-01,445,mobile,23,0,2,9.81
2026-01-01,446,mobile,23,1,6,9.49
2026-01-01,447,mobile,14,7,4,15.12
2026-01-01,449,desktop,12,1,2,2.56
2026-01-01,451,mobile,11,5,6,9.24
2026-01-01,452,mobile,16,5,7,9.28
2026-01-01,457,mobile,16,2,6,14.47
2026-01-01,459,desktop,9,1,3,3.29
2026-01-01,460,desktop,4,0,1,4.27
2026-01-01,461,mobile,17,1,8,15.05
2026-01-01,462,mobile,24,4,4,13.86
2026-01-01,463,mobile,10,1,3,11.71
2026-01-01,468,mobile,20,5,6,12.65
2026-01-01,469,mobile,19,1,2,10.76
2026-01-01,471,mobile,11,5,7,253.87
2026-01-01,472,desktop,2,3,1,2.44
2026-01-01,474,mobile,23,7,3,9.94
2026-01-01,475,mobile,15,3,7,11.08
2026-01-01,476,desktop,1,2,0,3.18
2026-01-01,477,mobile,13,4,1,11.61
2026-01-01,478,mobile,17,5,2,12.65
2026-01-01,481,mobile,38,6,3,15.49
2026-01-01,482,mobile,24,1,5,14.81
2026-01-01,484,mobile,21,1,8,12.89
2026-01-01,486,desktop,8,2,2,64.26
2026-01-01,487,mobile,19,10,6,14.63
2026-01-01,489,mobile,13,2,5,16.09
2026-01-01,490,mobile,15,8,13,11.4
2026-01-01,491,mobile,10,1,10,11.09
2026-01-01,493,desktop,7,0,3,3.5
2026-01-01,494,mobile,20,3,2,9.98
2026-01-01,495,mobile,16,6,25,16.96
2026-01-01,496,mobile,6,4,4,7.13
2026-01-01,500,mobile,15,5,4,13.44
2026-01-01,501,mobile,12,0,1,11.64
2026-01-01,504,mobile,13,17,11,13.37
2026-01-01,505,desktop,15,0,2,2.04
2026-01-01,510,mobile,26,1,4,9.11
2026-01-01,512,mobile,13,4,2,9.38
2026-01-01,514,desktop,2,0,3,4.65
2026-01-01,517,mobile,12,4,1,12.54
2026-01-01,518,mobile,22,3,6,11.23
2026-01-01,521,mobile,12,8,6,8.75
2026-01-01,523,mobile,8,8,12,13.92
2026-01-01,526,mobile,64,1,2,12.16
2026-01-01,529,mobile,19,3,6,11.78
2026-01-01,530,mobile,24,5,13,14.26
2026-01-01,531,mobile,19,2,3,14.99
2026-01-01,535,mobile,22,2,11,12.03
2026-01-01,536,mobile,13,3,3,9.27
2026-01-01,537,mobile,14,3,3,9.31
2026-01-01,538,mobile,61,3,4,8.8
2026-01-01,539,desktop,2,2,1,3.67
2026-01-01,540,mobile,25,3,2,15.68
2026-01-01,543,mobile,19,2,12,9.07
2026-01-01,544,mobile,47,8,13,9.8
2026-01-01,551,mobile,15,4,4,13.99
2026-01-01,552,mobile,24,7,3,10.48
2026-01-01,558,mobile,14,1,3,12.34
2026-01-01,560,mobile,11,1,2,12.11
2026-01-01,561,mobile,23,4,4,13.42
2026-01-01,562,desktop,4,0,5,2.32
2026-01-01,564,mobile,11,2,4,9.74
2026-01-01,565,mobile,17,3,4,9.73
2026-01-01,566,mobile,17,4,4,11.46
2026-01-01,567,mobile,8,10,1,12.15
2026-01-01,569,mobile,23,7,4,12.92
2026-01-01,570,mobile,11,2,3,13.95
2026-01-01,572,mobile,28,5,5,12.29
2026-01-01,574,mobile,12,5,7,11.49
2026-01-01,578,mobile,18,3,7,12.74
2026-01-01,579,mobile,17,6,6,10.35
2026-01-01,580,mobile,6,1,5,15.89
2026-01-01,584,mobile,7,1,6,10.27
2026-01-01,585,mobile,17,3,10,10.38
2026-01-01,587,desktop,5,1,1,2.02
2026-01-01,589,desktop,7,1,5,4.19
2026-01-01,592,desktop,2,1,1,1.19
2026-01-01,593,mobile,12,3,6,9.91
2026-01-01,594,mobile,17,3,11,12.4
2026-01-01,595,mobile,14,1,6,11.0
2026-01-01,598,desktop,3,2,4,2.49
2026-01-01,600,desktop,5,0,3,2.44
2026-01-01,603,desktop,6,0,1,3.5
2026-01-01,604,desktop,8,1,2,3.81
2026-01-01,607,mobile,21,2,4,11.39
2026-01-01,608,mobile,44,8,7,10.36
2026-01-01,609,mobile,13,3,5,8.99
2026-01-01,614,mobile,14,3,1,11.11
2026-01-01,615,mobile,14,3,5,13.83
2026-01-01,616,desktop,7,0,2,6.93
2026-01-01,617,mobile,18,0,2,10.93
2026-01-01,627,mobile,23,3,5,13.02
2026-01-01,628,desktop,6,0,5,2.35
2026-01-01,634,desktop,7,0,3,3.3
2026-01-01,635,mobile,11,1,3,10.46
2026-01-01,637,mobile,17,2,6,10.69
2026-01-01,639,mobile,12,5,6,13.48
2026-01-01,640,desktop,2,0,5,2.28
2026-01-01,641,mobile,12,3,5,12.28
2026-01-01,644,desktop,8,1,3,2.88
2026-01-01,645,mobile,16,6,9,7.77
2026-01-01,646,mobile,10,3,9,13.85
2026-01-01,648,mobile,13,3,8,9.6
2026-01-01,650,desktop,6,1,0,2.75
2026-01-01,655,desktop,8,1,1,4.37
2026-01-01,656,mobile,15,2,4,11.8
2026-01-01,657,mobile,16,5,5,13.56
2026-01-01,658,mobile,22,0,5,9.86
2026-01-01,659,mobile,24,2,1,13.94
2026-01-01,662,mobile,18,0,4,12.03
2026-01-01,663,mobile,43,5,4,9.97
2026-01-01,664,desktop,2,0,1,2.15
2026-01-01,665,desktop,7,1,2,4.17
2026-01-01,668,desktop,7,0,0,2.99
2026-01-01,671,mobile,22,10,6,11.41
2026-01-01,672,desktop,12,0,0,2.17
2026-01-01,673,mobile,16,6,3,10.52
2026-01-01,674,mobile,7,2,5,10.64
2026-01-01,675,mobile,53,5,5,133.85
2026-01-01,676,desktop,5,1,0,3.67
2026-01-01,677,mobile,8,3,5,10.14
2026-01-01,678,mobile,8,3,7,17.77
2026-01-01,680,mobile,16,5,10,13.08
2026-01-01,681,mobile,7,1,0,10.93
2026-01-01,683,mobile,2,4,5,159.07
2026-01-01,684,mobile,17,7,7,9.85
2026-01-01,685,mobile,12,1,0,10.16
2026-01-01,688,mobile,9,5,3,12.1
2026-01-01,689,desktop,6,0,4,1.78
2026-01-01,691,mobile,19,1,3,12.46
2026-01-01,692,mobile,14,1,3,13.81
2026-01-01,693,mobile,9,5,4,10.59
2026-01-01,695,mobile,16,3,6,10.19
2026-01-01,698,desktop,2,3,2,2.18
2026-01-01,699,mobile,19,4,3,12.7
2026-01-01,701,desktop,4,2,2,3.33
2026-01-01,703,desktop,5,1,0,2.71
2026-01-01,705,mobile,23,6,8,12.99
2026-01-01,706,mobile,36,4,3,9.74
2026-01-01,708,mobile,18,0,2,11.73
2026-01-01,710,mobile,12,5,2,15.45
2026-01-01,713,mobile,23,4,7,11.85
2026-01-01,714,mobile,14,6,2,217.46
2026-01-01,715,mobile,6,2,3,13.42
2026-01-01,716,mobile,11,2,1,12.09
2026-01-01,718,desktop,8,0,0,3.77
2026-01-01,720,mobile,30,3,4,12.05
2026-01-01,721,desktop,4,0,2,3.57
2026-01-01,722,desktop,3,2,0,3.99
2026-01-01,723,mobile,13,2,2,14.12
2026-01-01,726,desktop,3,2,2,2.65
2026-01-01,727,mobile,9,4,3,9.66
2026-01-01,729,desktop,5,1,4,2.89
2026-01-01,731,mobile,12,2,7,12.17
2026-01-01,732,mobile,9,4,7,10.66
2026-01-01,733,mobile,9,5,4,8.78
2026-01-01,739,mobile,19,5,9,12.16
2026-01-01,743,mobile,20,6,4,13.03
2026-01-01,747,mobile,21,6,1,12.58
2026-01-01,748,mobile,20,4,5,10.86
2026-01-01,751,mobile,13,2,3,13.95
2026-01-01,753,mobile,17,7,3,14.77
2026-01-01,754,desktop,1,2,7,4.32
2026-01-01,759,mobile,15,6,6,10.64
2026-01-01,760,desktop,6,0,1,2.72
2026-01-01,763,mobile,14,6,2,10.51
2026-01-01,764,desktop,5,1,1,3.21
2026-01-01,765,mobile,19,1,7,13.02
2026-01-01,767,mobile,14,1,4,11.47
2026-01-01,768,mobile,22,3,3,14.65
2026-01-01,769,mobile,20,14,11,14.2
2026-01-01,770,desktop,8,1,5,3.24
2026-01-01,771,mobile,19,6,3,8.25
2026-01-01,772,desktop,6,0,2,3.54
2026-01-01,773,mobile,9,4,1,13.71
2026-01-01,775,desktop,1,1,5,2.89
2026-01-01,776,mobile,60,4,2,15.88
2026-01-01,777,mobile,9,2,1,10.96
2026-01-01,778,mobile,16,7,9,9.26
2026-01-01,781,mobile,15,5,2,10.13
2026-01-01,782,mobile,28,2,5,12.85
2026-01-01,783,mobile,14,3,4,14.78
2026-01-01,784,desktop,4,3,1,3.45
2026-01-01,785,mobile,21,4,6,12.85
2026-01-01,787,mobile,16,2,7,8.26
2026-01-01,789,mobile,20,3,5,12.11
2026-01-01,790,desktop,5,2,6,2.28
2026-01-01,794,desktop,9,3,2,1.96
2026-01-01,795,mobile,16,2,6,10.18
2026-01-01,798,mobile,23,2,5,12.02
2026-01-01,802,mobile,6,4,1,12.12
2026-01-01,803,mobile,12,5,7,11.84
2026-01-01,804,mobile,13,9,1,13.67
2026-01-01,805,mobile,20,4,5,9.64
2026-01-01,806,mobile,14,1,6,10.08
2026-01-01,807,mobile,28,4,6,14.2
2026-01-01,808,mobile,12,3,2,9.21
2026-01-01,809,desktop,10,1,4,1.32
2026-01-01,810,mobile,20,7,6,11.08
2026-01-01,812,desktop,6,1,2,4.35
2026-01-01,814,mobile,18,8,6,10.05
2026-01-01,815,mobile,42,6,7,9.83
2026-01-01,816,mobile,14,2,4,11.53
2026-01-01,819,mobile,13,2,3,7.49
2026-01-01,821,desktop,8,0,1,2.15
2026-01-01,822,mobile,13,3,2,13.01
2026-01-01,823,mobile,9,10,7,9.23
2026-01-01,824,mobile,7,5,7,12.53
2026-01-01,825,mobile,16,6,1,14.03
2026-01-01,826,mobile,16,1,4,14.8
2026-01-01,828,mobile,3,4,4,11.91
2026-01-01,829,mobile,26,6,2,13.02
2026-01-01,832,desktop,6,0,4,3.84
2026-01-01,833,desktop,6,3,6,2.66
2026-01-01,835,mobile,20,2,4,10.87
2026-01-01,839,mobile,12,8,3,11.05
2026-01-01,841,mobile,9,4,6,12.13
2026-01-01,843,mobile,13,6,7,8.2
2026-01-01,844,desktop,6,0,1,4.08
2026-01-01,846,desktop,2,1,0,3.63
2026-01-01,848,mobile,12,3,2,12.19
2026-01-01,850,desktop,7,2,2,2.41
2026-01-01,852,mobile,10,6,6,13.88
2026-01-01,854,mobile,16,2,2,8.91
2026-01-01,855,desktop,20,0,4,3.13
2026-01-01,856,desktop,3,1,5,2.63
2026-01-01,857,mobile,15,1,6,11.48
2026-01-01,858,mobile,17,4,4,16.36
2026-01-01,860,mobile,25,1,3,14.95
2026-01-01,861,mobile,20,2,4,14.18
2026-01-01,862,mobile,22,2,7,9.41
2026-01-01,864,mobile,13,5,7,9.95
2026-01-01,865,mobile,14,3,7,9.66
2026-01-01,867,desktop,7,0,0,3.33
2026-01-01,870,mobile,21,4,1,11.34
2026-01-01,871,mobile,15,6,7,12.44
2026-01-01,873,mobile,13,3,5,13.9
2026-01-01,875,desktop,11,2,3,2.41
2026-01-01,876,mobile,10,0,2,11.16
2026-01-01,877,mobile,12,3,1,10.91
2026-01-01,878,desktop,7,0,2,2.57
2026-01-01,881,mobile,15,2,1,13.08
2026-01-01,883,desktop,2,3,1,2.6
2026-01-01,885,desktop,4,1,0,2.95
2026-01-01,886,mobile,16,0,6,11.53
2026-01-01,888,desktop,6,0,1,1.85
2026-01-01,890,mobile,13,8,1,15.99
2026-01-01,891,mobile,26,3,7,10.3
2026-01-01,895,mobile,33,7,3,13.07
2026-01-01,896,mobile,14,5,3,12.59
2026-01-01,897,mobile,20,6,3,250.34
2026-01-01,898,desktop,9,0,2,1.75
2026-01-01,901,desktop,2,2,2,4.69
2026-01-01,904,mobile,14,4,2,15.13
2026-01-01,907,mobile,14,2,5,9.53
2026-01-01,910,mobile,28,3,8,13.26
2026-01-01,911,mobile,14,4,6,12.01
2026-01-01,913,mobile,7,7,6,322.32
2026-01-01,914,mobile,25,3,4,17.9
2026-01-01,919,desktop,10,1,2,4.03
2026-01-01,920,mobile,10,4,2,12.3
2026-01-01,921,mobile,14,3,2,13.65
2026-01-01,922,mobile,13,8,7,10.54
2026-01-01,925,desktop,3,1,1,3.36
2026-01-01,927,mobile,18,4,5,11.46
2026-01-01,928,mobile,12,3,10,14.4
2026-01-01,930,desktop,6,1,4,3.74
2026-01-01,933,mobile,19,4,3,9.42
2026-01-01,934,desktop,8,1,0,2.34
2026-01-01,939,mobile,10,3,10,239.7
2026-01-01,941,mobile,11,3,6,12.64
2026-01-01,943,mobile,22,17,5,10.55
2026-01-01,946,desktop,6,3,1,3.93
2026-01-01,947,mobile,13,7,1,13.3
2026-01-01,949,mobile,15,6,6,13.02
2026-01-01,952,desktop,4,0,2,2.75
2026-01-01,953,mobile,19,3,8,11.11
2026-01-01,954,mobile,19,6,6,11.9
2026-01-01,955,mobile,19,24,4,10.72
2026-01-01,958,desktop,11,1,1,3.33
2026-01-01,965,mobile,19,3,3,10.32
2026-01-01,967,mobile,13,5,1,12.22
2026-01-01,968,mobile,14,1,4,10.61
2026-01-01,969,mobile,17,8,5,11.23
2026-01-01,970,mobile,19,5,2,16.65
2026-01-01,972,mobile,27,4,2,11.07
2026-01-01,975,mobile,20,1,3,13.4
2026-01-01,977,desktop,9,0,0,4.95
2026-01-01,983,desktop,7,1,0,1.63
2026-01-01,985,mobile,17,4,5,12.45
2026-01-01,987,mobile,23,6,8,13.5
2026-01-01,988,mobile,12,6,3,12.87
2026-01-01,990,mobile,8,2,6,12.64
2026-01-01,992,mobile,29,2,13,10.97
2026-01-01,993,mobile,19,6,6,11.07
2026-01-01,994,mobile,24,5,6,10.42
2026-01-01,996,mobile,16,5,2,9.75
2026-01-01,997,desktop,4,2,1,49.15
2026-01-01,998,mobile,20,5,3,10.04
2026-01-01,999,mobile,22,2,7,13.97
2026-01-01,1003,mobile,13,1,4,12.77
2026-01-01,1004,mobile,18,3,5,14.05
2026-01-01,1005,mobile,47,10,4,13.14
2026-01-01,1009,mobile,16,3,0,12.54
2026-01-01,1010,mobile,9,0,3,11.65
2026-01-01,1012,mobile,25,8,3,10.04
2026-01-01,1014,mobile,11,5,2,10.23
2026-01-01,1018,mobile,28,10,13,13.48
2026-01-01,1022,mobile,13,3,9,13.5
2026-01-01,1023,mobile,15,7,3,10.58
2026-01-01,1024,mobile,17,13,4,10.57
2026-01-01,1027,mobile,22,4,4,10.73
2026-01-01,1030,desktop,1,2,0,3.31
2026-01-01,1031,mobile,11,4,3,12.35
2026-01-01,1037,mobile,24,2,4,10.98
2026-01-01,1039,mobile,15,6,3,11.19
2026-01-01,1040,mobile,12,3,6,14.15
2026-01-01,1041,mobile,21,5,9,10.54
2026-01-01,1042,mobile,16,1,9,12.36
2026-01-01,1043,mobile,18,5,9,294.48
2026-01-01,1045,mobile,14,1,11,11.52
2026-01-01,1050,mobile,21,9,6,9.17
2026-01-01,1051,mobile,15,4,5,10.41
2026-01-01,1052,mobile,14,1,4,12.17
2026-01-01,1056,mobile,29,7,4,11.71
2026-01-01,1057,mobile,12,4,5,12.59
2026-01-01,1058,mobile,11,1,0,11.7
2026-01-01,1059,mobile,10,9,11,13.89
2026-01-01,1061,mobile,20,6,7,12.11
2026-01-01,1062,mobile,22,7,3,10.42
